	Homo-sapiens	Pan-troglodytes	Macaca-mulatta	Callithrix-jacchus	Pongo-abelii	Nomascus-leucogenys	Otolemur-garnettii	Pan-paniscus	Papio-anubis	Saimiri-boliviensis	Gorilla-gorilla	Macaca-fascicularis	Chlorocebus-sabaeus	Carlito-syrichta	Rhinopithecus-roxellana	Macaca-nemestrina	Colobus-angolensis	Mandrillus-leucophaeus	Cercocebus-atys	Aotus-nancymaae	Propithecus-coquereli	Microcebus-murinus	Cebus-imitator	Rhinopithecus-bieti	Piliocolobus-tephrosceles	Theropithecus-gelada	Hylobates-moloch	Sapajus-apella	Trachypithecus-francoisi	Lemur-catta	Macaca-thibetana	Nycticebus-coucang	Pongo-pygmaeus	Symphalangus-syndactylus	Eulemur-rufifrons
Homo-sapiens	0.0	0.00669344042838016	0.008032128514056214	0.014725568942436373	0.01338688085676043	0.010709504685408322	0.04953145917001334	0.0053547523427041055	0.008032128514056214	0.018741633199464536	0.004016064257028162	0.008032128514056214	0.009370816599732268	0.07095046854082998	0.009370816599732268	0.008032128514056214	0.010709504685408322	0.010709504685408322	0.012048192771084376	0.014725568942436373	0.048192771084337394	0.04283801874163318	0.016064257028112428	0.010709504685408322	0.010709504685408322	0.008032128514056214	0.012048192771084376	0.014725568942436373	0.012048192771084376	0.04283801874163318	0.008032128514056214	0.05622489959839361	0.012048192771084376	0.012048192771084376	0.04283801874163318
Pan-troglodytes	0.00669344042838016	0.0	0.012048192771084376	0.021419009370816644	0.014725568942436373	0.012048192771084376	0.052208835341365445	0.004016064257028162	0.012048192771084376	0.022757697456492587	0.0053547523427041055	0.012048192771084376	0.01338688085676043	0.07362784471218209	0.01338688085676043	0.012048192771084376	0.014725568942436373	0.014725568942436373	0.016064257028112428	0.018741633199464536	0.048192771084337394	0.04283801874163318	0.02008032128514059	0.014725568942436373	0.014725568942436373	0.012048192771084376	0.01338688085676043	0.018741633199464536	0.016064257028112428	0.04283801874163318	0.012048192771084376	0.05622489959839361	0.01338688085676043	0.01338688085676043	0.04283801874163318
Macaca-mulatta	0.008032128514056214	0.012048192771084376	0.0	0.014725568942436373	0.016064257028112428	0.01338688085676043	0.04685408299866134	0.010709504685408322	0.0	0.018741633199464536	0.009370816599732268	0.0	0.0013386880856760541	0.06559571619812588	0.004016064257028162	0.0	0.0026773761713521083	0.0026773761713521083	0.004016064257028162	0.014725568942436373	0.04283801874163318	0.03748326639892907	0.016064257028112428	0.0053547523427041055	0.0026773761713521083	0.0	0.014725568942436373	0.014725568942436373	0.004016064257028162	0.03748326639892907	0.0	0.0535475234270415	0.014725568942436373	0.014725568942436373	0.03748326639892907
Callithrix-jacchus	0.014725568942436373	0.021419009370816644	0.014725568942436373	0.0	0.022757697456492587	0.02008032128514059	0.048192771084337394	0.01740294511378848	0.014725568942436373	0.014725568942436373	0.018741633199464536	0.014725568942436373	0.016064257028112428	0.06961178045515393	0.016064257028112428	0.014725568942436373	0.01740294511378848	0.014725568942436373	0.016064257028112428	0.012048192771084376	0.04953145917001334	0.04685408299866134	0.012048192771084376	0.01740294511378848	0.01740294511378848	0.014725568942436373	0.021419009370816644	0.010709504685408322	0.018741633199464536	0.04685408299866134	0.014725568942436373	0.05488621151271755	0.021419009370816644	0.021419009370816644	0.04417670682730923
Pongo-abelii	0.01338688085676043	0.014725568942436373	0.016064257028112428	0.022757697456492587	0.0	0.008032128514056214	0.05488621151271755	0.01338688085676043	0.016064257028112428	0.018741633199464536	0.012048192771084376	0.016064257028112428	0.014725568942436373	0.07362784471218209	0.01740294511378848	0.016064257028112428	0.018741633199464536	0.016064257028112428	0.01740294511378848	0.02008032128514059	0.048192771084337394	0.04283801874163318	0.016064257028112428	0.018741633199464536	0.018741633199464536	0.016064257028112428	0.009370816599732268	0.01740294511378848	0.02008032128514059	0.04149933065595712	0.016064257028112428	0.06157965194109771	0.0013386880856760541	0.009370816599732268	0.04149933065595712
Nomascus-leucogenys	0.010709504685408322	0.012048192771084376	0.01338688085676043	0.02008032128514059	0.008032128514056214	0.0	0.04953145917001334	0.010709504685408322	0.01338688085676043	0.018741633199464536	0.009370816599732268	0.01338688085676043	0.014725568942436373	0.07362784471218209	0.014725568942436373	0.01338688085676043	0.016064257028112428	0.01338688085676043	0.014725568942436373	0.01740294511378848	0.048192771084337394	0.04283801874163318	0.016064257028112428	0.016064257028112428	0.016064257028112428	0.01338688085676043	0.0013386880856760541	0.014725568942436373	0.01740294511378848	0.04283801874163318	0.01338688085676043	0.05622489959839361	0.00669344042838016	0.0013386880856760541	0.04283801874163318
Otolemur-garnettii	0.04953145917001334	0.052208835341365445	0.04685408299866134	0.048192771084337394	0.05488621151271755	0.04953145917001334	0.0	0.04953145917001334	0.04685408299866134	0.04685408299866134	0.05087014725568939	0.04685408299866134	0.048192771084337394	0.07095046854082998	0.048192771084337394	0.04685408299866134	0.04953145917001334	0.048192771084337394	0.04953145917001334	0.04685408299866134	0.03614457831325302	0.032128514056224855	0.04417670682730923	0.04953145917001334	0.04953145917001334	0.04685408299866134	0.05087014725568939	0.04283801874163318	0.04953145917001334	0.03614457831325302	0.04685408299866134	0.014725568942436373	0.0535475234270415	0.05087014725568939	0.03614457831325302
Pan-paniscus	0.0053547523427041055	0.004016064257028162	0.010709504685408322	0.01740294511378848	0.01338688085676043	0.010709504685408322	0.04953145917001334	0.0	0.010709504685408322	0.018741633199464536	0.004016064257028162	0.010709504685408322	0.012048192771084376	0.07095046854082998	0.012048192771084376	0.010709504685408322	0.01338688085676043	0.01338688085676043	0.014725568942436373	0.014725568942436373	0.045515394912985285	0.04016064257028118	0.016064257028112428	0.01338688085676043	0.01338688085676043	0.010709504685408322	0.012048192771084376	0.014725568942436373	0.014725568942436373	0.04283801874163318	0.010709504685408322	0.0535475234270415	0.012048192771084376	0.012048192771084376	0.04016064257028118
Papio-anubis	0.008032128514056214	0.012048192771084376	0.0	0.014725568942436373	0.016064257028112428	0.01338688085676043	0.04685408299866134	0.010709504685408322	0.0	0.018741633199464536	0.009370816599732268	0.0	0.0013386880856760541	0.06559571619812588	0.004016064257028162	0.0	0.0026773761713521083	0.0026773761713521083	0.004016064257028162	0.014725568942436373	0.04283801874163318	0.03748326639892907	0.016064257028112428	0.0053547523427041055	0.0026773761713521083	0.0	0.014725568942436373	0.014725568942436373	0.004016064257028162	0.03748326639892907	0.0	0.0535475234270415	0.014725568942436373	0.014725568942436373	0.03748326639892907
Saimiri-boliviensis	0.018741633199464536	0.022757697456492587	0.018741633199464536	0.014725568942436373	0.018741633199464536	0.018741633199464536	0.04685408299866134	0.018741633199464536	0.018741633199464536	0.0	0.02008032128514059	0.018741633199464536	0.01740294511378848	0.06693440428380193	0.02008032128514059	0.018741633199464536	0.021419009370816644	0.018741633199464536	0.02008032128514059	0.010709504685408322	0.045515394912985285	0.04016064257028118	0.008032128514056214	0.021419009370816644	0.021419009370816644	0.018741633199464536	0.02008032128514059	0.00669344042838016	0.022757697456492587	0.04283801874163318	0.018741633199464536	0.05087014725568939	0.01740294511378848	0.02008032128514059	0.04016064257028118
