	Homo-sapiens	Pan-troglodytes	Macaca-mulatta	Callithrix-jacchus	Pongo-abelii	Nomascus-leucogenys	Otolemur-garnettii	Pan-paniscus	Papio-anubis	Saimiri-boliviensis	Gorilla-gorilla	Macaca-fascicularis	Chlorocebus-sabaeus	Carlito-syrichta	Rhinopithecus-roxellana	Macaca-nemestrina	Colobus-angolensis	Mandrillus-leucophaeus	Cercocebus-atys	Aotus-nancymaae	Propithecus-coquereli	Microcebus-murinus	Cebus-imitator	Rhinopithecus-bieti	Piliocolobus-tephrosceles	Theropithecus-gelada	Hylobates-moloch	Sapajus-apella	Trachypithecus-francoisi	Lemur-catta	Macaca-thibetana	Nycticebus-coucang	Pongo-pygmaeus	Symphalangus-syndactylus	Eulemur-rufifrons
Homo-sapiens	0.0	0.005376344086021501	0.008064516129032251	0.013440860215053752	0.013440860215053752	0.010752688172043001	0.048387096774193505	0.005376344086021501	0.008064516129032251	0.017473118279569877	0.0040322580645161255	0.008064516129032251	0.009408602150537626	0.06989247311827962	0.009408602150537626	0.008064516129032251	0.010752688172043001	0.010752688172043001	0.012096774193548376	0.012096774193548376	0.048387096774193505	0.043010752688172005	0.014784946236559127	0.010752688172043001	0.010752688172043001	0.008064516129032251	0.012096774193548376	0.013440860215053752	0.012096774193548376	0.043010752688172005	0.008064516129032251	0.05510752688172038	0.012096774193548376	0.012096774193548376	0.043010752688172005
Pan-troglodytes	0.005376344086021501	0.0	0.010752688172043001	0.018817204301075252	0.013440860215053752	0.010752688172043001	0.04973118279569888	0.0026881720430107503	0.010752688172043001	0.020161290322580627	0.0040322580645161255	0.010752688172043001	0.012096774193548376	0.071236559139785	0.012096774193548376	0.010752688172043001	0.013440860215053752	0.013440860215053752	0.014784946236559127	0.014784946236559127	0.04704301075268813	0.04166666666666663	0.017473118279569877	0.013440860215053752	0.013440860215053752	0.010752688172043001	0.012096774193548376	0.016129032258064502	0.014784946236559127	0.04166666666666663	0.010752688172043001	0.053763440860215006	0.012096774193548376	0.012096774193548376	0.04166666666666663
Macaca-mulatta	0.008064516129032251	0.010752688172043001	0.0	0.013440860215053752	0.016129032258064502	0.013440860215053752	0.045698924731182755	0.010752688172043001	0.0	0.017473118279569877	0.009408602150537626	0.0	0.0013440860215053752	0.06451612903225812	0.0040322580645161255	0.0	0.0026881720430107503	0.0026881720430107503	0.0040322580645161255	0.012096774193548376	0.043010752688172005	0.037634408602150504	0.014784946236559127	0.005376344086021501	0.0026881720430107503	0.0	0.014784946236559127	0.013440860215053752	0.0040322580645161255	0.037634408602150504	0.0	0.05241935483870963	0.014784946236559127	0.014784946236559127	0.037634408602150504
Callithrix-jacchus	0.013440860215053752	0.018817204301075252	0.013440860215053752	0.0	0.021505376344086002	0.018817204301075252	0.048387096774193505	0.016129032258064502	0.013440860215053752	0.014784946236559127	0.017473118279569877	0.013440860215053752	0.014784946236559127	0.06989247311827962	0.014784946236559127	0.013440860215053752	0.016129032258064502	0.013440860215053752	0.014784946236559127	0.009408602150537626	0.048387096774193505	0.045698924731182755	0.012096774193548376	0.016129032258064502	0.016129032258064502	0.013440860215053752	0.020161290322580627	0.010752688172043001	0.017473118279569877	0.045698924731182755	0.013440860215053752	0.05510752688172038	0.020161290322580627	0.020161290322580627	0.043010752688172005
Pongo-abelii	0.013440860215053752	0.013440860215053752	0.016129032258064502	0.021505376344086002	0.0	0.008064516129032251	0.053763440860215006	0.013440860215053752	0.016129032258064502	0.017473118279569877	0.012096774193548376	0.016129032258064502	0.014784946236559127	0.07258064516129037	0.017473118279569877	0.016129032258064502	0.018817204301075252	0.016129032258064502	0.017473118279569877	0.017473118279569877	0.048387096774193505	0.043010752688172005	0.014784946236559127	0.018817204301075252	0.018817204301075252	0.016129032258064502	0.009408602150537626	0.016129032258064502	0.020161290322580627	0.04166666666666663	0.016129032258064502	0.06048387096774188	0.0013440860215053752	0.009408602150537626	0.04166666666666663
Nomascus-leucogenys	0.010752688172043001	0.010752688172043001	0.013440860215053752	0.018817204301075252	0.008064516129032251	0.0	0.048387096774193505	0.010752688172043001	0.013440860215053752	0.017473118279569877	0.009408602150537626	0.013440860215053752	0.014784946236559127	0.07258064516129037	0.014784946236559127	0.013440860215053752	0.016129032258064502	0.013440860215053752	0.014784946236559127	0.014784946236559127	0.048387096774193505	0.043010752688172005	0.014784946236559127	0.016129032258064502	0.016129032258064502	0.013440860215053752	0.0013440860215053752	0.013440860215053752	0.017473118279569877	0.043010752688172005	0.013440860215053752	0.05510752688172038	0.006720430107526876	0.0013440860215053752	0.043010752688172005
Otolemur-garnettii	0.048387096774193505	0.04973118279569888	0.045698924731182755	0.048387096774193505	0.053763440860215006	0.048387096774193505	0.0	0.048387096774193505	0.045698924731182755	0.04704301075268813	0.04973118279569888	0.045698924731182755	0.04704301075268813	0.071236559139785	0.04704301075268813	0.045698924731182755	0.048387096774193505	0.04704301075268813	0.048387096774193505	0.04435483870967738	0.034946236559139754	0.03091397849462363	0.04435483870967738	0.048387096774193505	0.048387096774193505	0.045698924731182755	0.04973118279569888	0.043010752688172005	0.048387096774193505	0.034946236559139754	0.045698924731182755	0.014784946236559127	0.05241935483870963	0.04973118279569888	0.034946236559139754
Pan-paniscus	0.005376344086021501	0.0026881720430107503	0.010752688172043001	0.016129032258064502	0.013440860215053752	0.010752688172043001	0.048387096774193505	0.0	0.010752688172043001	0.017473118279569877	0.0040322580645161255	0.010752688172043001	0.012096774193548376	0.06989247311827962	0.012096774193548376	0.010752688172043001	0.013440860215053752	0.013440860215053752	0.014784946236559127	0.012096774193548376	0.045698924731182755	0.040322580645161255	0.014784946236559127	0.013440860215053752	0.013440860215053752	0.010752688172043001	0.012096774193548376	0.013440860215053752	0.014784946236559127	0.043010752688172005	0.010752688172043001	0.05241935483870963	0.012096774193548376	0.012096774193548376	0.040322580645161255
Papio-anubis	0.008064516129032251	0.010752688172043001	0.0	0.013440860215053752	0.016129032258064502	0.013440860215053752	0.045698924731182755	0.010752688172043001	0.0	0.017473118279569877	0.009408602150537626	0.0	0.0013440860215053752	0.06451612903225812	0.0040322580645161255	0.0	0.0026881720430107503	0.0026881720430107503	0.0040322580645161255	0.012096774193548376	0.043010752688172005	0.037634408602150504	0.014784946236559127	0.005376344086021501	0.0026881720430107503	0.0	0.014784946236559127	0.013440860215053752	0.0040322580645161255	0.037634408602150504	0.0	0.05241935483870963	0.014784946236559127	0.014784946236559127	0.037634408602150504
Saimiri-boliviensis	0.017473118279569877	0.020161290322580627	0.017473118279569877	0.014784946236559127	0.017473118279569877	0.017473118279569877	0.04704301075268813	0.017473118279569877	0.017473118279569877	0.0	0.018817204301075252	0.017473118279569877	0.016129032258064502	0.06720430107526887	0.018817204301075252	0.017473118279569877	0.020161290322580627	0.017473118279569877	0.018817204301075252	0.008064516129032251	0.04435483870967738	0.03897849462365588	0.008064516129032251	0.020161290322580627	0.020161290322580627	0.017473118279569877	0.018817204301075252	0.006720430107526876	0.021505376344086002	0.04166666666666663	0.017473118279569877	0.051075268817204256	0.016129032258064502	0.018817204301075252	0.03897849462365588
