	Homo-sapiens	Pan-troglodytes	Macaca-mulatta	Pongo-abelii	Callithrix-jacchus	Nomascus-leucogenys	Otolemur-garnettii	Pan-paniscus	Papio-anubis	Saimiri-boliviensis	Gorilla-gorilla	Macaca-fascicularis	Chlorocebus-sabaeus	Carlito-syrichta	Rhinopithecus-roxellana	Macaca-nemestrina	Colobus-angolensis	Mandrillus-leucophaeus	Cercocebus-atys	Aotus-nancymaae	Propithecus-coquereli	Microcebus-murinus	Cebus-imitator	Rhinopithecus-bieti	Theropithecus-gelada	Hylobates-moloch	Sapajus-apella	Trachypithecus-francoisi	Lemur-catta	Macaca-thibetana	Nycticebus-coucang	Pongo-pygmaeus	Symphalangus-syndactylus	Eulemur-rufifrons
Homo-sapiens	0.0	0.1906556141672946	0.21477015825169554	0.17859834212509418	0.18688771665410697	0.18085908063300682	0.1688018085908063	0.17859834212509418	0.17106254709871893	0.2373775433308214	0.1921627731725697	0.17181612660135648	0.17256970610399402	0.24340617935192166	0.212509419743783	0.17483044461190655	0.1974378296910324	0.19668425018839486	0.1974378296910324	0.0685757347400151	0.15749811605124342	0.1959306706857573	0.24039186134137147	0.19668425018839486	0.1974378296910324	0.17859834212509418	0.17935192162773173	0.18161266013564437	0.1974378296910324	0.18161266013564437	0.2155237377543331	0.17633760361718165	0.20874152223059528	0.23210248681235868
Pan-troglodytes	0.1906556141672946	0.0	0.19969856819894494	0.02110022607385076	0.056518462697814575	0.024114544084400946	0.0987189148455162	0.012057272042200418	0.038432554634513894	0.08590806330067824	0.0045214770158251705	0.03918613413715144	0.04144687264506408	0.19969856819894494	0.06179351921627729	0.23963828183873404	0.0768651092690279	0.07611152976639035	0.013564431047475511	0.21627731725697064	0.0987189148455162	0.06706857573474001	0.07912584777694043	0.012810851544837965	0.0768651092690279	0.02110022607385076	0.04822908816880178	0.029389600602863553	0.06179351921627729	0.02788244159758857	0.06556141672946492	0.01883948756593823	0.1921627731725697	0.21627731725697064
Macaca-mulatta	0.21477015825169554	0.19969856819894494	0.0	0.18688771665410697	0.1838733986435569	0.18839487565938207	0.253956292388847	0.18764129615674452	0.1620195930670686	0.2358703843255463	0.1989449886963075	0.1620195930670686	0.16503391107761867	0.040693293142426534	0.1439336850037679	0.042954031650339064	0.12961567445365485	0.12434061793519213	0.1891484551620196	0.17030896759608138	0.2456669178598342	0.2042200452147701	0.24039186134137147	0.19291635267520724	0.12509419743782968	0.18613413715146943	0.17935192162773173	0.17859834212509418	0.2042200452147701	0.17181612660135648	0.22004521477015826	0.18462697814619444	0.012057272042200418	0.03165033911077619
Pongo-abelii	0.17859834212509418	0.02110022607385076	0.18688771665410697	0.0	0.042954031650339064	0.01130369253956287	0.08440090429540315	0.0301431801055011	0.02562170308967593	0.07309721175584027	0.022607385079125852	0.027128862094951023	0.028636021100226117	0.21778447626224562	0.07912584777694043	0.22682743029389596	0.06405425772418993	0.06330067822155239	0.030896759608138646	0.2042200452147701	0.0836473247927656	0.05501130369253959	0.09645817633760356	0.0301431801055011	0.06405425772418993	0.008289374529012794	0.03541823662396382	0.016578749058025588	0.04898266767143933	0.015071590052750605	0.05124340617935197	0.0030143180105500766	0.18010550113036927	0.2042200452147701
Callithrix-jacchus	0.18688771665410697	0.056518462697814575	0.1838733986435569	0.042954031650339064	0.0	0.04596834966088925	0.10474755086661647	0.04446119065561416	0.027128862094951023	0.07761868877166545	0.056518462697814575	0.02788244159758857	0.028636021100226117	0.212509419743783	0.09721175584024111	0.22381311228334588	0.08214016578749062	0.08138658628485307	0.0535041446872645	0.18839487565938207	0.09570459683496613	0.05501130369253959	0.08138658628485307	0.054257724189902046	0.08214016578749062	0.04446119065561416	0.02034664657121321	0.040693293142426534	0.056518462697814575	0.03767897513187646	0.07309721175584027	0.04220045214770163	0.18311981914091935	0.20120572720422003
Nomascus-leucogenys	0.18085908063300682	0.024114544084400946	0.18839487565938207	0.01130369253956287	0.04596834966088925	0.0	0.08741522230595333	0.03315749811605129	0.027128862094951023	0.07460437076111526	0.02562170308967593	0.029389600602863553	0.0301431801055011	0.22004521477015826	0.08063300678221552	0.22833458929917105	0.06631499623210246	0.06556141672946492	0.03240391861341374	0.20648078372268275	0.08892238131122832	0.05727204220045212	0.09645817633760356	0.03165033911077619	0.06631499623210246	0.007535795026375247	0.03692539562923891	0.018085908063300682	0.05048982667671442	0.016578749058025588	0.0535041446872645	0.009042954031650341	0.18010550113036927	0.2057272042200452
Otolemur-garnettii	0.1688018085908063	0.0987189148455162	0.253956292388847	0.08440090429540315	0.10474755086661647	0.08741522230595333	0.0	0.10776186887716654	0.09721175584024111	0.13338357196684247	0.0987189148455162	0.09796533534287866	0.10173323285606628	0.2727957799547852	0.14619442351168044	0.21477015825169554	0.13112283345892994	0.1318764129615675	0.10399397136397892	0.18839487565938207	0.04446119065561416	0.09193669932177839	0.15749811605124342	0.10324039186134137	0.13262999246420493	0.0836473247927656	0.09947249434815375	0.09118311981914096	0.08816880180859077	0.08816880180859077	0.06405425772418993	0.0836473247927656	0.252449133383572	0.2441597588545592
Pan-paniscus	0.17859834212509418	0.012057272042200418	0.18764129615674452	0.0301431801055011	0.04446119065561416	0.03315749811605129	0.10776186887716654	0.0	0.026375282592313476	0.09495101733232858	0.013564431047475511	0.027128862094951023	0.029389600602863553	0.18764129615674452	0.07083647324792763	0.2275810097965335	0.08590806330067824	0.08515448379804069	0.022607385079125852	0.2042200452147701	0.09645817633760356	0.05501130369253959	0.06706857573474001	0.021853805576488305	0.08590806330067824	0.0301431801055011	0.036171816126601364	0.038432554634513894	0.05802562170308967	0.03692539562923891	0.07460437076111526	0.02788244159758857	0.18010550113036927	0.2042200452147701
Papio-anubis	0.17106254709871893	0.038432554634513894	0.1620195930670686	0.02562170308967593	0.027128862094951023	0.027128862094951023	0.09721175584024111	0.026375282592313476	0.0	0.08063300678221552	0.038432554634513894	0.0030143180105500766	0.0045214770158251705	0.19969856819894494	0.08063300678221552	0.20271288620949512	0.06631499623210246	0.061039939713639746	0.02788244159758857	0.19140919366993214	0.08816880180859077	0.0467219291635268	0.08289374529012816	0.03165033911077619	0.06179351921627729	0.024868123587038382	0.021853805576488305	0.019593067068575776	0.0467219291635268	0.012057272042200418	0.06480783722682748	0.0233609645817634	0.17030896759608138	0.1891484551620196
Saimiri-boliviensis	0.2373775433308214	0.08590806330067824	0.2358703843255463	0.07309721175584027	0.07761868877166545	0.07460437076111526	0.13338357196684247	0.09495101733232858	0.08063300678221552	0.0	0.08741522230595333	0.08289374529012816	0.0836473247927656	0.2645064054257724	0.12660135644310477	0.2758100979653353	0.11228334589299171	0.11303692539562926	0.08590806330067824	0.23813112283345894	0.1386586284853052	0.10399397136397892	0.03692539562923891	0.0836473247927656	0.11379050489826681	0.07234363225320273	0.07008289374529009	0.07008289374529009	0.1002260738507913	0.07008289374529009	0.10248681235870383	0.07083647324792763	0.23285606631499622	0.24792765636774683
