	Homo-sapiens	Pan-troglodytes	Macaca-mulatta	Callithrix-jacchus	Pongo-abelii	Nomascus-leucogenys	Otolemur-garnettii	Pan-paniscus	Papio-anubis	Saimiri-boliviensis	Gorilla-gorilla	Macaca-fascicularis	Chlorocebus-sabaeus	Carlito-syrichta	Rhinopithecus-roxellana	Macaca-nemestrina	Colobus-angolensis	Mandrillus-leucophaeus	Cercocebus-atys	Aotus-nancymaae	Propithecus-coquereli	Microcebus-murinus	Cebus-imitator	Rhinopithecus-bieti	Piliocolobus-tephrosceles	Theropithecus-gelada	Hylobates-moloch	Sapajus-apella	Trachypithecus-francoisi	Lemur-catta	Macaca-thibetana	Nycticebus-coucang	Pongo-pygmaeus	Symphalangus-syndactylus	Eulemur-rufifrons
Homo-sapiens	0.0	0.003197442046362964	0.0231814548361311	0.03677058353317342	0.014388489208633115	0.017585931254995968	0.11910471622701835	0.0023980815347721673	0.026378896882493952	0.039168665067945696	0.003197442046362964	0.023980815347721784	0.025579536370903266	0.1151079136690647	0.026378896882493952	0.0231814548361311	0.02877697841726623	0.025579536370903266	0.023980815347721784	0.037569944044764214	0.09672262190247805	0.1079136690647482	0.03677058353317342	0.026378896882493952	0.029576338928856916	0.023980815347721784	0.0151878497202238	0.03677058353317342	0.02717825739408475	0.08952837729816143	0.023980815347721784	0.11270983213429253	0.014388489208633115	0.014388489208633115	0.08792965627498006
Pan-troglodytes	0.003197442046362964	0.0	0.0231814548361311	0.03677058353317342	0.014388489208633115	0.015987210231814597	0.11750599520383698	0.0023980815347721673	0.026378896882493952	0.04076738609112707	0.003197442046362964	0.023980815347721784	0.02717825739408475	0.1151079136690647	0.026378896882493952	0.0231814548361311	0.02877697841726623	0.025579536370903266	0.023980815347721784	0.037569944044764214	0.09512390087929656	0.10631494804156671	0.03677058353317342	0.026378896882493952	0.029576338928856916	0.023980815347721784	0.013589128697042319	0.03677058353317342	0.02877697841726623	0.08792965627498006	0.023980815347721784	0.11111111111111116	0.014388489208633115	0.012789768185451633	0.08633093525179858
Macaca-mulatta	0.0231814548361311	0.0231814548361311	0.0	0.03517186250999205	0.023980815347721784	0.02877697841726623	0.123101518784972	0.022382094324540414	0.010391686650679466	0.03597122302158273	0.0231814548361311	0.003197442046362964	0.014388489208633115	0.11191047162270185	0.011191047162270151	0.001598721023181482	0.012789768185451633	0.007993605115907298	0.006394884092725817	0.03437250199840125	0.09512390087929656	0.10951239008792968	0.03517186250999205	0.011191047162270151	0.013589128697042319	0.006394884092725817	0.026378896882493952	0.03677058353317342	0.011990407673860948	0.09112709832134291	0.0007993605115906854	0.11031175059952036	0.023980815347721784	0.025579536370903266	0.09112709832134291
Callithrix-jacchus	0.03677058353317342	0.03677058353317342	0.03517186250999205	0.0	0.03437250199840125	0.04156674660271786	0.12789768185451633	0.03597122302158273	0.03517186250999205	0.021582733812949617	0.03677058353317342	0.03517186250999205	0.039168665067945696	0.11111111111111116	0.03996802557953638	0.03517186250999205	0.039168665067945696	0.037569944044764214	0.03437250199840125	0.019984012789768135	0.09672262190247805	0.10551558752997603	0.01918465227817745	0.03996802557953638	0.03996802557953638	0.03597122302158273	0.039168665067945696	0.02078337330135893	0.04156674660271786	0.09112709832134291	0.03597122302158273	0.11670663469224618	0.03437250199840125	0.0383693045563549	0.09112709832134291
Pongo-abelii	0.014388489208633115	0.014388489208633115	0.023980815347721784	0.03437250199840125	0.0	0.017585931254995968	0.12070343725019983	0.013589128697042319	0.02877697841726623	0.03996802557953638	0.014388489208633115	0.02478017585931258	0.029576338928856916	0.11270983213429253	0.02877697841726623	0.023980815347721784	0.031175059952038398	0.027977617905675434	0.026378896882493952	0.0383693045563549	0.09912070343725021	0.10711430855315751	0.039168665067945696	0.02877697841726623	0.03197442046362908	0.026378896882493952	0.0151878497202238	0.03996802557953638	0.029576338928856916	0.09032773780975223	0.02478017585931258	0.11430855315747401	0.0	0.014388489208633115	0.09032773780975223
Nomascus-leucogenys	0.017585931254995968	0.015987210231814597	0.02877697841726623	0.04156674660271786	0.017585931254995968	0.0	0.1239008792965628	0.016786570743405282	0.03197442046362908	0.04556354916067151	0.017585931254995968	0.029576338928856916	0.03277378097521988	0.11750599520383698	0.031175059952038398	0.02877697841726623	0.033573141486810565	0.031175059952038398	0.029576338928856916	0.04156674660271786	0.10391686650679455	0.1079136690647482	0.04236610711430855	0.031175059952038398	0.03517186250999205	0.029576338928856916	0.005595523581135131	0.043165467625899234	0.033573141486810565	0.09512390087929656	0.029576338928856916	0.11750599520383698	0.017585931254995968	0.004796163069544335	0.09432454036770588
Otolemur-garnettii	0.11910471622701835	0.11750599520383698	0.123101518784972	0.12789768185451633	0.12070343725019983	0.1239008792965628	0.0	0.11750599520383698	0.11990407673860914	0.12869704236610713	0.11750599520383698	0.12150279776179052	0.123101518784972	0.13988808952837728	0.12230215827338131	0.123101518784972	0.12230215827338131	0.11830535571542766	0.11910471622701835	0.1310951239008793	0.08633093525179858	0.10231814548361307	0.123101518784972	0.12230215827338131	0.12549960031974416	0.11990407673860914	0.12470023980815348	0.1239008792965628	0.12230215827338131	0.08792965627498006	0.1239008792965628	0.052757793764988015	0.12070343725019983	0.1239008792965628	0.08792965627498006
Pan-paniscus	0.0023980815347721673	0.0023980815347721673	0.022382094324540414	0.03597122302158273	0.013589128697042319	0.016786570743405282	0.11750599520383698	0.0	0.025579536370903266	0.03996802557953638	0.0023980815347721673	0.0231814548361311	0.026378896882493952	0.11270983213429253	0.025579536370903266	0.022382094324540414	0.027977617905675434	0.02478017585931258	0.0231814548361311	0.03677058353317342	0.09432454036770588	0.10551558752997603	0.03597122302158273	0.025579536370903266	0.02877697841726623	0.0231814548361311	0.014388489208633115	0.03597122302158273	0.027977617905675434	0.08713029576338926	0.0231814548361311	0.11111111111111116	0.013589128697042319	0.013589128697042319	0.08713029576338926
Papio-anubis	0.026378896882493952	0.026378896882493952	0.010391686650679466	0.03517186250999205	0.02877697841726623	0.03197442046362908	0.11990407673860914	0.025579536370903266	0.0	0.039168665067945696	0.026378896882493952	0.010391686650679466	0.0151878497202238	0.11111111111111116	0.012789768185451633	0.010391686650679466	0.013589128697042319	0.008792965627497984	0.007194244604316502	0.03517186250999205	0.09352517985611508	0.10951239008792968	0.03517186250999205	0.012789768185451633	0.015987210231814597	0.005595523581135131	0.029576338928856916	0.03677058353317342	0.0151878497202238	0.09032773780975223	0.011191047162270151	0.1079136690647482	0.02877697841726623	0.02877697841726623	0.09032773780975223
Saimiri-boliviensis	0.039168665067945696	0.04076738609112707	0.03597122302158273	0.021582733812949617	0.03996802557953638	0.04556354916067151	0.12869704236610713	0.03996802557953638	0.039168665067945696	0.0	0.04076738609112707	0.037569944044764214	0.04156674660271786	0.11750599520383698	0.04236610711430855	0.03597122302158273	0.04156674660271786	0.0383693045563549	0.0383693045563549	0.023980815347721784	0.0999200639488409	0.11111111111111116	0.01918465227817745	0.04236610711430855	0.04396482813749003	0.0383693045563549	0.043165467625899234	0.02078337330135893	0.04396482813749003	0.09432454036770588	0.03677058353317342	0.11830535571542766	0.03996802557953638	0.04236610711430855	0.09432454036770588
