	Homo-sapiens	Pan-troglodytes	Macaca-mulatta	Papio-anubis	Callithrix-jacchus	Pongo-abelii	Nomascus-leucogenys	Otolemur-garnettii	Pan-paniscus	Saimiri-boliviensis	Gorilla-gorilla	Macaca-fascicularis	Chlorocebus-sabaeus	Rhinopithecus-roxellana	Macaca-nemestrina	Colobus-angolensis	Mandrillus-leucophaeus	Cercocebus-atys	Aotus-nancymaae	Propithecus-coquereli	Microcebus-murinus	Cebus-imitator	Rhinopithecus-bieti	Piliocolobus-tephrosceles	Theropithecus-gelada	Sapajus-apella	Hylobates-moloch	Trachypithecus-francoisi	Lemur-catta	Macaca-thibetana	Nycticebus-coucang	Pongo-pygmaeus	Symphalangus-syndactylus	Eulemur-rufifrons
Homo-sapiens	0.0	0.039612676056338	0.009683098591549255	0.008802816901408494	0.052816901408450745	0.04313380281690138	0.046654929577464754	0.06778169014084512	0.040492957746478875	0.047535211267605626	0.039612676056338	0.009683098591549255	0.010563380281690127	0.010563380281690127	0.010563380281690127	0.08098591549295775	0.01320422535211263	0.01232394366197187	0.05017605633802813	0.0651408450704225	0.0369718309859155	0.05721830985915488	0.01320422535211263	0.01232394366197187	0.008802816901408494	0.05017605633802813	0.041373239436619746	0.014084507042253502	0.08274647887323938	0.011443661971830998	0.06073943661971826	0.014084507042253502	0.046654929577464754	0.06426056338028174
Pan-troglodytes	0.039612676056338	0.0	0.04225352112676062	0.04313380281690138	0.022007042253521125	0.011443661971830998	0.014964788732394374	0.0994718309859155	0.0008802816901408717	0.015845070422535246	0.0035211267605633756	0.04225352112676062	0.04313380281690138	0.04313380281690138	0.04313380281690138	0.09595070422535212	0.04313380281690138	0.045774647887323994	0.01936619718309862	0.033450704225352124	0.0713028169014085	0.0255281690140845	0.045774647887323994	0.045774647887323994	0.04313380281690138	0.014084507042253502	0.009683098591549255	0.04401408450704225	0.046654929577464754	0.04225352112676062	0.09154929577464788	0.040492957746478875	0.010563380281690127	0.03257042253521125
Macaca-mulatta	0.009683098591549255	0.04225352112676062	0.0	0.0008802816901408717	0.04489436619718312	0.040492957746478875	0.045774647887323994	0.06073943661971826	0.04313380281690138	0.04313380281690138	0.04225352112676062	0.0	0.002640845070422504	0.004401408450704247	0.0008802816901408717	0.073943661971831	0.005281690140845119	0.0061619718309858795	0.04225352112676062	0.059859154929577496	0.03257042253521125	0.051056338028169	0.007042253521126751	0.004401408450704247	0.0008802816901408717	0.04225352112676062	0.040492957746478875	0.004401408450704247	0.073943661971831	0.0017605633802817433	0.053697183098591506	0.011443661971830998	0.04401408450704225	0.058978873239436624
Papio-anubis	0.008802816901408494	0.04313380281690138	0.0008802816901408717	0.0	0.04401408450704225	0.039612676056338	0.04489436619718312	0.06161971830985913	0.04401408450704225	0.04225352112676062	0.04313380281690138	0.0008802816901408717	0.0017605633802817433	0.0035211267605633756	0.0017605633802817433	0.07306338028169013	0.004401408450704247	0.005281690140845119	0.041373239436619746	0.058978873239436624	0.03169014084507038	0.05017605633802813	0.0061619718309858795	0.0035211267605633756	0.0	0.04313380281690138	0.039612676056338	0.005281690140845119	0.07482394366197187	0.002640845070422504	0.05457746478873238	0.010563380281690127	0.04489436619718312	0.05809859154929575
Callithrix-jacchus	0.052816901408450745	0.022007042253521125	0.04489436619718312	0.04401408450704225	0.0	0.01848591549295775	0.022887323943661997	0.0994718309859155	0.022887323943661997	0.01232394366197187	0.021126760563380254	0.04489436619718312	0.04401408450704225	0.045774647887323994	0.045774647887323994	0.09771126760563376	0.04401408450704225	0.0484154929577465	0.01320422535211263	0.035211267605633756	0.06866197183098588	0.022007042253521125	0.0484154929577465	0.046654929577464754	0.04401408450704225	0.014964788732394374	0.01848591549295775	0.046654929577464754	0.04929577464788737	0.04313380281690138	0.09330985915492962	0.047535211267605626	0.022887323943661997	0.034330985915492995
Pongo-abelii	0.04313380281690138	0.011443661971830998	0.040492957746478875	0.039612676056338	0.01848591549295775	0.0	0.01232394366197187	0.0994718309859155	0.01232394366197187	0.014964788732394374	0.011443661971830998	0.040492957746478875	0.039612676056338	0.041373239436619746	0.041373239436619746	0.09330985915492962	0.039612676056338	0.041373239436619746	0.015845070422535246	0.029929577464788748	0.06690140845070425	0.021126760563380254	0.04401408450704225	0.04225352112676062	0.039612676056338	0.014964788732394374	0.007042253521126751	0.04225352112676062	0.047535211267605626	0.040492957746478875	0.09154929577464788	0.029049295774647876	0.007922535211267623	0.029049295774647876
Nomascus-leucogenys	0.046654929577464754	0.014964788732394374	0.045774647887323994	0.04489436619718312	0.022887323943661997	0.01232394366197187	0.0	0.102112676056338	0.015845070422535246	0.020246478873239382	0.01320422535211263	0.045774647887323994	0.04489436619718312	0.046654929577464754	0.046654929577464754	0.09859154929577463	0.04489436619718312	0.04489436619718312	0.021126760563380254	0.035211267605633756	0.07218309859154926	0.026408450704225372	0.04929577464788737	0.045774647887323994	0.04489436619718312	0.020246478873239382	0.005281690140845119	0.047535211267605626	0.05193661971830987	0.045774647887323994	0.09242957746478875	0.041373239436619746	0.011443661971830998	0.03257042253521125
Otolemur-garnettii	0.06778169014084512	0.0994718309859155	0.06073943661971826	0.06161971830985913	0.0994718309859155	0.0994718309859155	0.102112676056338	0.0	0.10035211267605637	0.09771126760563376	0.09771126760563376	0.06073943661971826	0.06338028169014087	0.0625	0.059859154929577496	0.13116197183098588	0.06338028169014087	0.06161971830985913	0.10035211267605637	0.09242957746478875	0.0625	0.108274647887324	0.0651408450704225	0.06426056338028174	0.06161971830985913	0.09859154929577463	0.09859154929577463	0.0625	0.108274647887324	0.0625	0.05721830985915488	0.07042253521126762	0.10035211267605637	0.09330985915492962
Pan-paniscus	0.040492957746478875	0.0008802816901408717	0.04313380281690138	0.04401408450704225	0.022887323943661997	0.01232394366197187	0.015845070422535246	0.10035211267605637	0.0	0.016725352112676006	0.004401408450704247	0.04313380281690138	0.04401408450704225	0.04401408450704225	0.04401408450704225	0.096830985915493	0.04401408450704225	0.046654929577464754	0.020246478873239382	0.033450704225352124	0.0713028169014085	0.026408450704225372	0.046654929577464754	0.046654929577464754	0.04401408450704225	0.014964788732394374	0.010563380281690127	0.04489436619718312	0.046654929577464754	0.04313380281690138	0.09242957746478875	0.041373239436619746	0.011443661971830998	0.03257042253521125
Saimiri-boliviensis	0.047535211267605626	0.015845070422535246	0.04313380281690138	0.04225352112676062	0.01232394366197187	0.014964788732394374	0.020246478873239382	0.09771126760563376	0.016725352112676006	0.0	0.015845070422535246	0.04313380281690138	0.04225352112676062	0.04225352112676062	0.04401408450704225	0.09330985915492962	0.04225352112676062	0.045774647887323994	0.011443661971830998	0.029049295774647876	0.06954225352112675	0.01848591549295775	0.04489436619718312	0.04489436619718312	0.04225352112676062	0.01232394366197187	0.014964788732394374	0.04489436619718312	0.0484154929577465	0.041373239436619746	0.08978873239436624	0.04401408450704225	0.021126760563380254	0.03080985915492962
