	Homo-sapiens	Pan-troglodytes	Macaca-mulatta	Pongo-abelii	Callithrix-jacchus	Nomascus-leucogenys	Otolemur-garnettii	Pan-paniscus	Papio-anubis	Saimiri-boliviensis	Gorilla-gorilla	Macaca-fascicularis	Chlorocebus-sabaeus	Carlito-syrichta	Rhinopithecus-roxellana	Macaca-nemestrina	Colobus-angolensis	Mandrillus-leucophaeus	Cercocebus-atys	Aotus-nancymaae	Propithecus-coquereli	Cebus-imitator	Rhinopithecus-bieti	Piliocolobus-tephrosceles	Theropithecus-gelada	Hylobates-moloch	Sapajus-apella	Trachypithecus-francoisi	Lemur-catta	Macaca-thibetana	Nycticebus-coucang	Pongo-pygmaeus	Symphalangus-syndactylus	Eulemur-rufifrons
Homo-sapiens	0.0	0.0024721878862793423	0.028430160692212603	0.028430160692212603	0.38071693448702104	0.014833127317676165	0.25710754017305315	0.0012360939431397266	0.023485784919653918	0.05438813349814586	0.35352286773794805	0.02595797280593326	0.02595797280593326	0.1520395550061805	0.02595797280593326	0.023485784919653918	0.028430160692212603	0.02595797280593326	0.024721878862793534	0.056860321384425205	0.2645241038318912	0.05933250927070455	0.02595797280593326	0.03337453646477129	0.024721878862793534	0.01606922126081578	0.14833127317676142	0.03213844252163167	0.22744128553770082	0.3943139678615575	0.2435105067985167	0.3559950556242274	0.024721878862793534	0.2262051915945612
Pan-troglodytes	0.0024721878862793423	0.0	0.030902348578491945	0.030902348578491945	0.3794808405438813	0.017305315203955507	0.2583436341161929	0.0012360939431397266	0.02595797280593326	0.056860321384425205	0.3547589616810878	0.028430160692212603	0.028430160692212603	0.1520395550061805	0.028430160692212603	0.02595797280593326	0.02966625463535233	0.028430160692212603	0.027194066749072876	0.05933250927070455	0.2657601977750309	0.06180469715698389	0.028430160692212603	0.03584672435105063	0.027194066749072876	0.018541409147095234	0.14956736711990115	0.034610630407911014	0.22867737948084055	0.3943139678615575	0.24474660074165633	0.3572311495673671	0.027194066749072876	0.22744128553770082
Macaca-mulatta	0.028430160692212603	0.030902348578491945	0.0	0.04944375772558718	0.38195302843016066	0.028430160692212603	0.25092707045735474	0.02966625463535233	0.0049443757725586845	0.04820766378244745	0.3683559950556242	0.0024721878862793423	0.00988875154511748	0.15080346106304077	0.00988875154511748	0.0049443757725586845	0.014833127317676165	0.0049443757725586845	0.006180469715698411	0.05438813349814586	0.2719406674907293	0.05562422744128559	0.00988875154511748	0.01977750309023485	0.006180469715698411	0.02966625463535233	0.142150803461063	0.01606922126081578	0.23238566131025962	0.38071693448702104	0.24474660074165633	0.3683559950556242	0.03831891223733008	0.22867737948084055
Pongo-abelii	0.028430160692212603	0.030902348578491945	0.04944375772558718	0.0	0.3943139678615575	0.03337453646477129	0.27317676143386893	0.02966625463535233	0.04449938195302838	0.07416563658838071	0.3671199011124846	0.046971569839307836	0.04449938195302838	0.16563658838071693	0.04449938195302838	0.04449938195302838	0.046971569839307836	0.046971569839307836	0.04573547589616811	0.07416563658838071	0.27935723114956734	0.07540173053152044	0.04449938195302838	0.04944375772558718	0.04326328800988877	0.03213844252163167	0.1631644004944376	0.050679851668726794	0.24227441285537699	0.40296662546353523	0.2608158220024722	0.3559950556242274	0.0395550061804697	0.23856613102595803
Callithrix-jacchus	0.38071693448702104	0.3794808405438813	0.38195302843016066	0.3943139678615575	0.0	0.3794808405438813	0.4400494437577256	0.3794808405438813	0.3794808405438813	0.37082818294190356	0.2546353522867738	0.3794808405438813	0.3831891223733004	0.41409147095179233	0.38071693448702104	0.3794808405438813	0.38442521631644	0.3782447466007417	0.3794808405438813	0.3720642768850433	0.42150803461063036	0.3658838071693449	0.38071693448702104	0.38689740420271945	0.3782447466007417	0.38071693448702104	0.3906056860321384	0.3831891223733004	0.43757725587144625	0.7330037082818295	0.43139678615574784	0.25092707045735474	0.3831891223733004	0.4363411619283065
Nomascus-leucogenys	0.014833127317676165	0.017305315203955507	0.028430160692212603	0.03337453646477129	0.3794808405438813	0.0	0.2595797280593325	0.01606922126081578	0.023485784919653918	0.05191594561186652	0.3621755253399258	0.02595797280593326	0.02595797280593326	0.15574783683559945	0.02595797280593326	0.023485784919653918	0.030902348578491945	0.02595797280593326	0.024721878862793534	0.05438813349814586	0.2657601977750309	0.056860321384425205	0.02595797280593326	0.03337453646477129	0.024721878862793534	0.0012360939431397266	0.14585908529048208	0.03213844252163167	0.2311495673671199	0.3955500618046972	0.24969097651421512	0.35970333745364647	0.00988875154511748	0.2262051915945612
Otolemur-garnettii	0.25710754017305315	0.2583436341161929	0.25092707045735474	0.27317676143386893	0.4400494437577256	0.2595797280593325	0.0	0.2583436341161929	0.25216316440049447	0.2595797280593325	0.43263288009888756	0.25092707045735474	0.2533992583436341	0.2546353522867738	0.25216316440049447	0.25216316440049447	0.25216316440049447	0.25216316440049447	0.2533992583436341	0.2558714462299134	0.1977750309023486	0.26699629171817063	0.25216316440049447	0.2558714462299134	0.25216316440049447	0.2608158220024722	0.15945611866501852	0.2558714462299134	0.1520395550061805	0.5797280593325093	0.05933250927070455	0.43881334981458586	0.25710754017305315	0.15080346106304077
Pan-paniscus	0.0012360939431397266	0.0012360939431397266	0.02966625463535233	0.02966625463535233	0.3794808405438813	0.01606922126081578	0.2583436341161929	0.0	0.024721878862793534	0.05562422744128559	0.3547589616810878	0.027194066749072876	0.027194066749072876	0.1532756489493201	0.027194066749072876	0.024721878862793534	0.028430160692212603	0.027194066749072876	0.02595797280593326	0.05809641532756493	0.2657601977750309	0.060568603213844274	0.027194066749072876	0.034610630407911014	0.02595797280593326	0.017305315203955507	0.14956736711990115	0.03337453646477129	0.22867737948084055	0.39307787391841775	0.24474660074165633	0.3572311495673671	0.02595797280593326	0.22744128553770082
Papio-anubis	0.023485784919653918	0.02595797280593326	0.0049443757725586845	0.04449938195302838	0.3794808405438813	0.023485784919653918	0.25216316440049447	0.024721878862793534	0.0	0.04573547589616811	0.36464771322620515	0.0024721878862793423	0.0049443757725586845	0.14833127317676142	0.0049443757725586845	0.0	0.00988875154511748	0.0024721878862793423	0.0012360939431397266	0.050679851668726794	0.26946847960445	0.050679851668726794	0.0049443757725586845	0.014833127317676165	0.0012360939431397266	0.024721878862793534	0.13844252163164406	0.011124845488257096	0.22991347342398027	0.3782447466007417	0.2435105067985167	0.36341161928306553	0.03337453646477129	0.2262051915945612
Saimiri-boliviensis	0.05438813349814586	0.056860321384425205	0.04820766378244745	0.07416563658838071	0.37082818294190356	0.05191594561186652	0.2595797280593325	0.05562422744128559	0.04573547589616811	0.0	0.37453646477132263	0.04820766378244745	0.04573547589616811	0.1631644004944376	0.04820766378244745	0.04573547589616811	0.050679851668726794	0.04573547589616811	0.046971569839307836	0.02224969097651419	0.27317676143386893	0.021013597033374576	0.04820766378244745	0.05438813349814586	0.046971569839307836	0.053152039555006136	0.12113720642768855	0.05191594561186652	0.2311495673671199	0.4128553770086527	0.2583436341161929	0.3720642768850433	0.05809641532756493	0.22744128553770082
