	Homo-sapiens	Pan-troglodytes	Macaca-mulatta	Callithrix-jacchus	Pongo-abelii	Nomascus-leucogenys	Otolemur-garnettii	Pan-paniscus	Papio-anubis	Saimiri-boliviensis	Gorilla-gorilla	Macaca-fascicularis	Chlorocebus-sabaeus	Carlito-syrichta	Rhinopithecus-roxellana	Macaca-nemestrina	Colobus-angolensis	Mandrillus-leucophaeus	Cercocebus-atys	Aotus-nancymaae	Propithecus-coquereli	Microcebus-murinus	Cebus-imitator	Rhinopithecus-bieti	Piliocolobus-tephrosceles	Theropithecus-gelada	Sapajus-apella	Hylobates-moloch	Trachypithecus-francoisi	Lemur-catta	Macaca-thibetana	Nycticebus-coucang	Pongo-pygmaeus	Symphalangus-syndactylus	Eulemur-rufifrons
Homo-sapiens	0.0	0.001966568338249708	0.027531956735496577	0.058013765978367715	0.01179941002949858	0.007866273352999054	0.1887905604719764	0.002949852507374673	0.029498525073746285	0.06194690265486724	0.003933136676499527	0.0314650934119961	0.02851524090462143	0.09832841691248773	0.020648967551622377	0.027531956735496577	0.020648967551622377	0.029498525073746285	0.36479842674532936	0.06784660766961648	0.08357915437561458	0.09636184857423791	0.05014749262536877	0.019665683382497523	0.019665683382497523	0.02851524090462143	0.051130776794493626	0.006882989183874089	0.021632251720747342	0.07964601769911506	0.027531956735496577	0.17600786627335296	0.010816125860373615	0.004916420845624381	0.08062930186823991
Pan-troglodytes	0.001966568338249708	0.0	0.027531956735496577	0.05604719764011801	0.01179941002949858	0.007866273352999054	0.1887905604719764	0.000983284169124854	0.029498525073746285	0.059980334316617534	0.003933136676499527	0.0314650934119961	0.02851524090462143	0.09636184857423791	0.01868239921337267	0.027531956735496577	0.01868239921337267	0.029498525073746285	0.3657817109144543	0.06588003933136677	0.08357915437561458	0.09636184857423791	0.048180924287118954	0.017699115044247815	0.017699115044247815	0.02851524090462143	0.04916420845624381	0.006882989183874089	0.019665683382497523	0.07767944936086524	0.027531956735496577	0.1750245821042281	0.010816125860373615	0.004916420845624381	0.08062930186823991
Macaca-mulatta	0.027531956735496577	0.027531956735496577	0.0	0.06194690265486724	0.03048180924287114	0.025565388397246758	0.1907571288102261	0.02851524090462143	0.003933136676499527	0.058013765978367715	0.029498525073746285	0.003933136676499527	0.004916420845624381	0.10914454277286134	0.01868239921337267	0.0	0.01868239921337267	0.003933136676499527	0.35889872173058013	0.06882989183874144	0.08849557522123896	0.10127826941986229	0.053097345132743334	0.017699115044247815	0.019665683382497523	0.002949852507374673	0.05408062930186819	0.026548672566371723	0.019665683382497523	0.08456243854473944	0.0	0.1799410029498525	0.029498525073746285	0.026548672566371723	0.08554572271386429
Callithrix-jacchus	0.058013765978367715	0.05604719764011801	0.06194690265486724	0.0	0.058013765978367715	0.05899705014749268	0.2045231071779744	0.05604719764011801	0.06489675516224191	0.027531956735496577	0.058013765978367715	0.06588003933136677	0.06391347099311706	0.10521140609636181	0.05211406096361848	0.06194690265486724	0.05211406096361848	0.0629301868239921	0.3824975417895772	0.034414945919370665	0.09734513274336287	0.10521140609636181	0.022615535889872196	0.051130776794493626	0.051130776794493626	0.06391347099311706	0.021632251720747342	0.05899705014749268	0.051130776794493626	0.08947885939036382	0.06194690265486724	0.1907571288102261	0.05899705014749268	0.05703048180924286	0.09242871189773849
Pongo-abelii	0.01179941002949858	0.01179941002949858	0.03048180924287114	0.058013765978367715	0.0	0.015732546705997996	0.18977384464110125	0.012782694198623434	0.03244837758112096	0.06194690265486724	0.013765978367748288	0.034414945919370665	0.0314650934119961	0.0943952802359882	0.022615535889872196	0.03048180924287114	0.022615535889872196	0.03244837758112096	0.3667649950835792	0.06784660766961648	0.08652900688298915	0.09734513274336287	0.05014749262536877	0.021632251720747342	0.02359882005899705	0.0314650934119961	0.051130776794493626	0.012782694198623434	0.02359882005899705	0.08062930186823991	0.03048180924287114	0.17699115044247793	0.000983284169124854	0.012782694198623434	0.08161258603736476
Nomascus-leucogenys	0.007866273352999054	0.007866273352999054	0.025565388397246758	0.05899705014749268	0.015732546705997996	0.0	0.18977384464110125	0.008849557522123908	0.029498525073746285	0.06096361848574239	0.009832841691248762	0.029498525073746285	0.02851524090462143	0.09931170108161258	0.020648967551622377	0.025565388397246758	0.020648967551622377	0.029498525073746285	0.36479842674532936	0.06882989183874144	0.08456243854473944	0.09734513274336287	0.04916420845624381	0.019665683382497523	0.019665683382497523	0.02851524090462143	0.05014749262536877	0.004916420845624381	0.021632251720747342	0.07964601769911506	0.025565388397246758	0.17699115044247793	0.014749262536873142	0.002949852507374673	0.08161258603736476
Otolemur-garnettii	0.1887905604719764	0.1887905604719764	0.1907571288102261	0.2045231071779744	0.18977384464110125	0.18977384464110125	0.0	0.18977384464110125	0.19370698131760078	0.2025565388397247	0.1887905604719764	0.19370698131760078	0.19174041297935107	0.19960668633235001	0.18780727630285154	0.1907571288102261	0.1868239921337267	0.1907571288102261	0.4444444444444444	0.20747295968534907	0.16224188790560468	0.1730580137659784	0.19862340216322516	0.1868239921337267	0.18780727630285154	0.19272369714847593	0.19862340216322516	0.18977384464110125	0.18780727630285154	0.16715830875122906	0.1907571288102261	0.13765978367748277	0.1887905604719764	0.18977384464110125	0.15929203539823011
Pan-paniscus	0.002949852507374673	0.000983284169124854	0.02851524090462143	0.05604719764011801	0.012782694198623434	0.008849557522123908	0.18977384464110125	0.0	0.03048180924287114	0.06096361848574239	0.004916420845624381	0.03244837758112096	0.029498525073746285	0.09734513274336287	0.019665683382497523	0.02851524090462143	0.019665683382497523	0.03048180924287114	0.3657817109144543	0.06686332350049162	0.08456243854473944	0.09636184857423791	0.04916420845624381	0.01868239921337267	0.01868239921337267	0.029498525073746285	0.05014749262536877	0.007866273352999054	0.020648967551622377	0.0786627335299902	0.02851524090462143	0.17600786627335296	0.01179941002949858	0.005899705014749235	0.08161258603736476
Papio-anubis	0.029498525073746285	0.029498525073746285	0.003933136676499527	0.06489675516224191	0.03244837758112096	0.029498525073746285	0.19370698131760078	0.03048180924287114	0.0	0.06096361848574239	0.0314650934119961	0.007866273352999054	0.006882989183874089	0.10816125860373649	0.020648967551622377	0.003933136676499527	0.020648967551622377	0.003933136676499527	0.35889872173058013	0.071779744346116	0.09144542772861353	0.10226155358898725	0.05604719764011801	0.019665683382497523	0.021632251720747342	0.000983284169124854	0.05703048180924286	0.02851524090462143	0.021632251720747342	0.08751229105211411	0.003933136676499527	0.18289085545722716	0.0314650934119961	0.02851524090462143	0.08849557522123896
Saimiri-boliviensis	0.06194690265486724	0.059980334316617534	0.058013765978367715	0.027531956735496577	0.06194690265486724	0.06096361848574239	0.2025565388397247	0.06096361848574239	0.06096361848574239	0.0	0.06194690265486724	0.06194690265486724	0.059980334316617534	0.1101278269419862	0.05408062930186819	0.058013765978367715	0.05408062930186819	0.05899705014749268	0.3824975417895772	0.03539823008849563	0.09341199606686335	0.10422812192723696	0.024582104228121904	0.053097345132743334	0.05506391347099315	0.059980334316617534	0.02359882005899705	0.06096361848574239	0.053097345132743334	0.08751229105211411	0.058013765978367715	0.1887905604719764	0.0629301868239921	0.06096361848574239	0.09046214355948867
Gorilla-gorilla	0.003933136676499527	0.003933136676499527	0.029498525073746285	0.058013765978367715	0.013765978367748288	0.009832841691248762	0.1887905604719764	0.004916420845624381	0.0314650934119961	0.06194690265486724	0.0	0.03343166175024581	0.03048180924287114	0.09636184857423791	0.022615535889872196	0.029498525073746285	0.020648967551622377	0.0314650934119961	0.36479842674532936	0.06784660766961648	0.08357915437561458	0.0943952802359882	0.05014749262536877	0.021632251720747342	0.021632251720747342	0.03048180924287114	0.051130776794493626	0.008849557522123908	0.02359882005899705	0.07964601769911506	0.029498525073746285	0.17600786627335296	0.012782694198623434	0.006882989183874089	0.07669616519174038
Macaca-fascicularis	0.0314650934119961	0.0314650934119961	0.003933136676499527	0.06588003933136677	0.034414945919370665	0.029498525073746285	0.19370698131760078	0.03244837758112096	0.007866273352999054	0.06194690265486724	0.03343166175024581	0.0	0.008849557522123908	0.11209439528023601	0.022615535889872196	0.003933136676499527	0.022615535889872196	0.007866273352999054	0.3618485742379548	0.07276302851524086	0.09242871189773849	0.10521140609636181	0.05703048180924286	0.021632251720747342	0.02359882005899705	0.006882989183874089	0.058013765978367715	0.03048180924287114	0.02359882005899705	0.08849557522123896	0.003933136676499527	0.18289085545722716	0.03343166175024581	0.03048180924287114	0.08947885939036382
Chlorocebus-sabaeus	0.02851524090462143	0.02851524090462143	0.004916420845624381	0.06391347099311706	0.0314650934119961	0.02851524090462143	0.19174041297935107	0.029498525073746285	0.006882989183874089	0.059980334316617534	0.03048180924287114	0.008849557522123908	0.0	0.11111111111111116	0.019665683382497523	0.004916420845624381	0.019665683382497523	0.006882989183874089	0.3579154375614553	0.07079646017699115	0.09046214355948867	0.1032448377581121	0.05506391347099315	0.01868239921337267	0.020648967551622377	0.005899705014749235	0.05604719764011801	0.027531956735496577	0.020648967551622377	0.08456243854473944	0.004916420845624381	0.1819075712881023	0.03048180924287114	0.027531956735496577	0.08751229105211411
Carlito-syrichta	0.09832841691248773	0.09636184857423791	0.10914454277286134	0.10521140609636181	0.0943952802359882	0.09931170108161258	0.19960668633235001	0.09734513274336287	0.10816125860373649	0.1101278269419862	0.09636184857423791	0.11209439528023601	0.11111111111111116	0.0	0.09931170108161258	0.10914454277286134	0.09734513274336287	0.10816125860373649	0.41199606686332346	0.1101278269419862	0.1032448377581121	0.10717797443461163	0.1032448377581121	0.09832841691248773	0.10029498525073743	0.10717797443461163	0.1032448377581121	0.09734513274336287	0.10029498525073743	0.0943952802359882	0.10914454277286134	0.1887905604719764	0.09537856440511305	0.09734513274336287	0.10029498525073743
